project_id,project_name,workstream,region,start_date,baseline_finish,forecast_finish,rag_status,completion_pct,planned_cost,actual_cost,completed_deliverables,planned_deliverables
PRJ-001,ERP Finance Wave,ERP,Europe,2026-04-01,2026-09-30,2026-10-12,Amber,72,420000,398000,8,11
PRJ-002,Warehouse Automation Pilot,Operations,Europe,2026-05-15,2026-10-31,2026-10-28,Green,68,310000,205000,11,13
PRJ-003,Customer Onboarding Redesign,Process,Europe,2026-06-01,2026-09-15,2026-09-27,Amber,80,90000,76000,16,20
PRJ-004,Data Quality Remediation,Data,Global,2026-03-01,2026-08-31,2026-09-25,Red,83,180000,191000,15,18
PRJ-005,Service Desk Workflow,IT Ops,Europe,2026-07-01,2026-11-15,2026-11-15,Green,54,120000,61000,7,13
PRJ-006,Supplier Portal Launch,Digital,Global,2026-05-01,2026-12-15,2026-12-30,Amber,49,260000,142000,9,18
PRJ-007,PMO Reporting Standard,PMO,Global,2026-06-15,2026-09-30,2026-09-22,Green,86,70000,54000,19,22
PRJ-008,Compliance Evidence Hub,Compliance,Europe,2026-07-15,2026-11-30,2026-12-18,Red,38,140000,72000,5,13
PRJ-009,Sales Ops Handover,Operations,Europe,2026-08-01,2026-10-15,2026-10-15,Green,52,55000,27000,8,15
PRJ-010,Master Data Governance,Data,Global,2026-04-15,2026-12-31,2027-01-20,Amber,44,230000,119000,8,18
PRJ-011,Vendor Onboarding Automation,Automation,Europe,2026-08-01,2026-10-31,2026-10-24,Green,57,80000,39000,10,17
PRJ-012,Incident Escalation Automation,Automation,Global,2026-08-15,2026-11-30,2026-12-05,Amber,34,95000,33000,5,15
